TIC_ID,ra,dec,Tmag
283722336,0.0,0.0,
136916387,0.0,0.0,
261136679,0.0,0.0,
332064670,0.0,0.0,
1042868,0.0,0.0,
188768068,0.0,0.0,
178155732,0.0,0.0,
130181866,0.0,0.0,
175193677,0.0,0.0,
157910432,0.0,0.0,
407966340,0.0,0.0,
87216634,0.0,0.0,
21832928,0.0,0.0,
397362481,0.0,0.0,
441420236,0.0,0.0,
317548889,0.0,0.0,
256364928,0.0,0.0,
82308728,0.0,0.0,
279741379,0.0,0.0,
200723869,0.0,0.0,
394137592,0.0,0.0,
420814525,0.0,0.0,
436873727,0.0,0.0,
55092869,0.0,0.0,
441462736,0.0,0.0,
22221375,0.0,0.0,
290348383,0.0,0.0,
403224672,0.0,0.0,
91987762,0.0,0.0,
271478281,0.0,0.0,
263003176,0.0,0.0,
286923464,0.0,0.0,
392681545,0.0,0.0,
69679391,0.0,0.0,
16740101,0.0,0.0,
264678534,0.0,0.0,
437011608,0.0,0.0,
255930614,0.0,0.0,
302773669,0.0,0.0,
4897275,0.0,0.0,
21535395,0.0,0.0,
347332255,0.0,0.0,
359271092,0.0,0.0,
69747919,0.0,0.0,
100990000,0.0,0.0,
464646604,0.0,0.0,
121214185,0.0,0.0,
467651916,0.0,0.0,
202426247,0.0,0.0,
441546821,0.0,0.0,
75878355,0.0,0.0,
375506058,0.0,0.0,
304142124,0.0,0.0,
410214986,0.0,0.0,
290131778,0.0,0.0,
129979528,0.0,0.0,
307809773,0.0,0.0,
158241252,0.0,0.0,
349827430,0.0,0.0,
453211454,0.0,0.0,
391949880,0.0,0.0,
23434737,0.0,0.0,
34068865,0.0,0.0,
199376584,0.0,0.0,
371443216,0.0,0.0,
418604868,0.0,0.0,
354619337,0.0,0.0,
320004517,0.0,0.0,
394172596,0.0,0.0,
70513361,0.0,0.0,
333657795,0.0,0.0,
367366318,0.0,0.0,
31374837,0.0,0.0,
207141131,0.0,0.0,
97735908,0.0,0.0,
114018671,0.0,0.0,
318707987,0.0,0.0,
257241363,0.0,0.0,
39903405,0.0,0.0,
219857012,0.0,0.0,
269701147,0.0,0.0,
318753380,0.0,0.0,
352413427,0.0,0.0,
120896927,0.0,0.0,
48450369,0.0,0.0,
408618999,0.0,0.0,
457134360,0.0,0.0,
307958020,0.0,0.0,
8967242,0.0,0.0,
27491137,0.0,0.0,
293954617,0.0,0.0,
349488688,0.0,0.0,
138819293,0.0,0.0,
366989877,0.0,0.0,
39699648,0.0,0.0,
366443426,0.0,0.0,
232540264,0.0,0.0,
37749396,0.0,0.0,
28230919,0.0,0.0,
9989136,0.0,0.0,
88992642,0.0,0.0,
83092282,0.0,0.0,
56815340,0.0,0.0,
298663873,0.0,0.0,
306263608,0.0,0.0,
350618622,0.0,0.0,
101011575,0.0,0.0,
404518509,0.0,0.0,
151759246,0.0,0.0,
368435330,0.0,0.0,
440887364,0.0,0.0,
260647166,0.0,0.0,
437856897,0.0,0.0,
286712787,0.0,0.0,
335630746,0.0,0.0,
198356533,0.0,0.0,
203377303,0.0,0.0,
449197831,0.0,0.0,
360630575,0.0,0.0,
239332587,0.0,0.0,
29191624,0.0,0.0,
413248763,0.0,0.0,
350020859,0.0,0.0,
147277741,0.0,0.0,
427761355,0.0,0.0,
425997655,0.0,0.0,
460984940,0.0,0.0,
383390264,0.0,0.0,
7422496,0.0,0.0,
33692729,0.0,0.0,
391903064,0.0,0.0,
287080092,0.0,0.0,
390651552,0.0,0.0,
364186197,0.0,0.0,
100100827,0.0,0.0,
14336130,0.0,0.0,
318696424,0.0,0.0,
106402532,0.0,0.0,
98796344,0.0,0.0,
248853232,0.0,0.0,
408310006,0.0,0.0,
4646810,0.0,0.0,
55315929,0.0,0.0,
270619260,0.0,0.0,
287256467,0.0,0.0,
149845414,0.0,0.0,
445805961,0.0,0.0,
65612701,0.0,0.0,
166836920,0.0,0.0,
142276270,0.0,0.0,
29781292,0.0,0.0,
357501308,0.0,0.0,
257774438,0.0,0.0,
142387023,0.0,0.0,
119292328,0.0,0.0,
393818343,0.0,0.0,
317597583,0.0,0.0,
121490076,0.0,0.0,
417931607,0.0,0.0,
139702105,0.0,0.0,
120826158,0.0,0.0,
252479260,0.0,0.0,
48018596,0.0,0.0,
142937186,0.0,0.0,
229455001,0.0,0.0,
317060587,0.0,0.0,
6893917,0.0,0.0,
293435336,0.0,0.0,
204650483,0.0,0.0,
154872375,0.0,0.0,
164458714,0.0,0.0,
395171208,0.0,0.0,
180695581,0.0,0.0,
63898957,0.0,0.0,
292202337,0.0,0.0,
130924120,0.0,0.0,
389352124,0.0,0.0,
179034327,0.0,0.0,
164652245,0.0,0.0,
48031665,0.0,0.0,
301289516,0.0,0.0,
158025009,0.0,0.0,
248608315,0.0,0.0,
300038935,0.0,0.0,
71431780,0.0,0.0,
183985250,0.0,0.0,
116483514,0.0,0.0,
150030205,0.0,0.0,
244089109,0.0,0.0,
97568467,0.0,0.0,
237222864,0.0,0.0,
183532609,0.0,0.0,
366484980,0.0,0.0,
71582156,0.0,0.0,
380887434,0.0,0.0,
266980320,0.0,0.0,
354469661,0.0,0.0,
172518755,0.0,0.0,
350348197,0.0,0.0,
166527623,0.0,0.0,
466376085,0.0,0.0,
192415680,0.0,0.0,
267263253,0.0,0.0,
429304876,0.0,0.0,
234994474,0.0,0.0,
187278212,0.0,0.0,
212253390,0.0,0.0,
34077285,0.0,0.0,
26547036,0.0,0.0,
404505029,0.0,0.0,
94986319,0.0,0.0,
280206394,0.0,0.0,
207468071,0.0,0.0,
346250894,0.0,0.0,
68577662,0.0,0.0,
743941,0.0,0.0,
194736418,0.0,0.0,
347430350,0.0,0.0,
224225541,0.0,0.0,
399870368,0.0,0.0,
85293053,0.0,0.0,
77253676,0.0,0.0,
102840239,0.0,0.0,
62483237,0.0,0.0,
260708537,0.0,0.0,
123846039,0.0,0.0,
422618449,0.0,0.0,
27039476,0.0,0.0,
339672028,0.0,0.0,
192790476,0.0,0.0,
134200185,0.0,0.0,
137151335,0.0,0.0,
307210830,0.0,0.0,
67666096,0.0,0.0,
8400842,0.0,0.0,
281575427,0.0,0.0,
164767175,0.0,0.0,
73228647,0.0,0.0,
441739020,0.0,0.0,
271168962,0.0,0.0,
299799658,0.0,0.0,
176220787,0.0,0.0,
15756231,0.0,0.0,
147660886,0.0,0.0,
262530407,0.0,0.0,
144065872,0.0,0.0,
417676622,0.0,0.0,
258804746,0.0,0.0,
268334473,0.0,0.0,
85242435,0.0,0.0,
377064495,0.0,0.0,
178819686,0.0,0.0,
428679607,0.0,0.0,
452808876,0.0,0.0,
101721385,0.0,0.0,
27064468,0.0,0.0,
288631580,0.0,0.0,
8260536,0.0,0.0,
376353509,0.0,0.0,
39936432,0.0,0.0,
165297570,0.0,0.0,
42883782,0.0,0.0,
21244210,0.0,0.0,
159781361,0.0,0.0,
174328045,0.0,0.0,
379929661,0.0,0.0,
407126408,0.0,0.0,
287156968,0.0,0.0,
1129033,0.0,0.0,
169226822,0.0,0.0,
94924543,0.0,0.0,
172900988,0.0,0.0,
198588220,0.0,0.0,
166739520,0.0,0.0,
92352620,0.0,0.0,
50618703,0.0,0.0,
63368895,0.0,0.0,
425206121,0.0,0.0,
281408474,0.0,0.0,
404421005,0.0,0.0,
243244680,0.0,0.0,
170634116,0.0,0.0,
382626661,0.0,0.0,
150098860,0.0,0.0,
286916251,0.0,0.0,
149603524,0.0,0.0,
15692883,0.0,0.0,
306996324,0.0,0.0,
38200266,0.0,0.0,
266593143,0.0,0.0,
437242640,0.0,0.0,
232568235,0.0,0.0,
346338552,0.0,0.0,
219344917,0.0,0.0,
458478250,0.0,0.0,
142381532,0.0,0.0,
40292751,0.0,0.0,
188876052,0.0,0.0,
44792534,0.0,0.0,
139270665,0.0,0.0,
392476080,0.0,0.0,
47911178,0.0,0.0,
58542531,0.0,0.0,
159418353,0.0,0.0,
428820090,0.0,0.0,
333674399,0.0,0.0,
293687315,0.0,0.0,
55525572,0.0,0.0,
165987272,0.0,0.0,
169081296,0.0,0.0,
157236902,0.0,0.0,
119584412,0.0,0.0,
231670397,0.0,0.0,
61098812,0.0,0.0,
278348461,0.0,0.0,
160708862,0.0,0.0,
138168780,0.0,0.0,
117414377,0.0,0.0,
170729775,0.0,0.0,
201248411,0.0,0.0,
150151262,0.0,0.0,
137906197,0.0,0.0,
103633434,0.0,0.0,
9006668,0.0,0.0,
12421862,0.0,0.0,
408636441,0.0,0.0,
365733349,0.0,0.0,
460205581,0.0,0.0,
99224131,0.0,0.0,
229742722,0.0,0.0,
466382581,0.0,0.0,
237232044,0.0,0.0,
455135327,0.0,0.0,
305424003,0.0,0.0,
233087860,0.0,0.0,
152569268,0.0,0.0,
71841620,0.0,0.0,
20096620,0.0,0.0,
408261725,0.0,0.0,
281731203,0.0,0.0,
230982885,0.0,0.0,
250977648,0.0,0.0,
8767448,0.0,0.0,
232982558,0.0,0.0,
303432813,0.0,0.0,
348835438,0.0,0.0,
224297258,0.0,0.0,
176899385,0.0,0.0,
298896336,0.0,0.0,
79748331,0.0,0.0,
394561119,0.0,0.0,
405425498,0.0,0.0,
307733361,0.0,0.0,
1167538,0.0,0.0,
50171060,0.0,0.0,
424865156,0.0,0.0,
301235044,0.0,0.0,
377293776,0.0,0.0,
27626711,0.0,0.0,
53498154,0.0,0.0,
147977348,0.0,0.0,
309792357,0.0,0.0,
350293646,0.0,0.0,
268403451,0.0,0.0,
300812741,0.0,0.0,
367630162,0.0,0.0,
22529346,0.0,0.0,
349095149,0.0,0.0,
343019899,0.0,0.0,
30122649,0.0,0.0,
193641523,0.0,0.0,
229510866,0.0,0.0,
167342439,0.0,0.0,
367858035,0.0,0.0,
139375960,0.0,0.0,
27848472,0.0,0.0,
159046962,0.0,0.0,
257436461,0.0,0.0,
158002130,0.0,0.0,
317520667,0.0,0.0,
370133522,0.0,0.0,
18310799,0.0,0.0,
116242971,0.0,0.0,
333473672,0.0,0.0,
384888319,0.0,0.0,
198390247,0.0,0.0,
260004324,0.0,0.0,
254113311,0.0,0.0,
362249359,0.0,0.0,
142394656,0.0,0.0,
380619414,0.0,0.0,
369327947,0.0,0.0,
258514800,0.0,0.0,
161045582,0.0,0.0,
422655579,0.0,0.0,
51234631,0.0,0.0,
342642208,0.0,0.0,
441587756,0.0,0.0,
124573851,0.0,0.0,
52005579,0.0,0.0,
435279748,0.0,0.0,
4165850,0.0,0.0,
151724385,0.0,0.0,
199444169,0.0,0.0,
52368076,0.0,0.0,
358516596,0.0,0.0,
409794137,0.0,0.0,
232976128,0.0,0.0,
296739893,0.0,0.0,
381714186,0.0,0.0,
164884235,0.0,0.0,
432549364,0.0,0.0,
96925186,0.0,0.0,
179582003,0.0,0.0,
158324245,0.0,0.0,
445903569,0.0,0.0,
19028197,0.0,0.0,
211438925,0.0,0.0,
98720809,0.0,0.0,
183537452,0.0,0.0,
154089169,0.0,0.0,
447061717,0.0,0.0,
239977528,0.0,0.0,
201175570,0.0,0.0,
257605131,0.0,0.0,
188589164,0.0,0.0,
269217040,0.0,0.0,
120960812,0.0,0.0,
274151135,0.0,0.0,
26826078,0.0,0.0,
146172354,0.0,0.0,
232967440,0.0,0.0,
411608801,0.0,0.0,
190496853,0.0,0.0,
178284730,0.0,0.0,
38846515,0.0,0.0,
104024556,0.0,0.0,
229650439,0.0,0.0,
316416562,0.0,0.0,
144193715,0.0,0.0,
126322519,0.0,0.0,
118327550,0.0,0.0,
15445551,0.0,0.0,
118339710,0.0,0.0,
289164482,0.0,0.0,
171883078,0.0,0.0,
371188886,0.0,0.0,
318022259,0.0,0.0,
384984325,0.0,0.0,
243921117,0.0,0.0,
68048686,0.0,0.0,
456945304,0.0,0.0,
191284318,0.0,0.0,
96199085,0.0,0.0,
91555165,0.0,0.0,
376637093,0.0,0.0,
464300749,0.0,0.0,
134537478,0.0,0.0,
70803960,0.0,0.0,
341405597,0.0,0.0,
26123781,0.0,0.0,
295541511,0.0,0.0,
120317234,0.0,0.0,
429302040,0.0,0.0,
445859771,0.0,0.0,
117642575,0.0,0.0,
251848941,0.0,0.0,
203189770,0.0,0.0,
99869022,0.0,0.0,
146364192,0.0,0.0,
10837041,0.0,0.0,
77156829,0.0,0.0,
31858843,0.0,0.0,
193336820,0.0,0.0,
393414358,0.0,0.0,
43647325,0.0,0.0,
111991770,0.0,0.0,
261135533,0.0,0.0,
356473034,0.0,0.0,
280097543,0.0,0.0,
135043332,0.0,0.0,
14227229,0.0,0.0,
122612091,0.0,0.0,
76923707,0.0,0.0,
8599009,0.0,0.0,
