TIC_ID,sector,available
261136679,12.0,True
178155732,4.0,True
130181866,20.0,True
407966340,5.0,True
87216634,81.0,True
21832928,25.0,True
397362481,63.0,True
441420236,1.0,True
317548889,6.0,True
279741379,1.0,True
200723869,3.0,True
394137592,1.0,True
436873727,18.0,True
441462736,2.0,True
22221375,9.0,True
290348383,13.0,True
403224672,1.0,True
91987762,21.0,True
271478281,27.0,True
263003176,12.0,True
392681545,59.0,True
264678534,18.0,True
437011608,44.0,True
4897275,21.0,True
21535395,21.0,True
359271092,9.0,True
100990000,3.0,True
464646604,27.0,True
467651916,43.0,True
202426247,14.0,True
75878355,,False
375506058,15.0,True
410214986,1.0,True
290131778,1.0,True
307809773,43.0,True
158241252,26.0,True
453211454,7.0,True
391949880,12.0,True
23434737,9.0,True
34068865,9.0,True
199376584,14.0,True
418604868,55.0,True
320004517,13.0,True
70513361,3.0,True
333657795,42.0,True
31374837,5.0,True
207141131,2.0,True
114018671,34.0,True
257241363,20.0,True
219857012,15.0,True
269701147,15.0,True
318753380,31.0,True
352413427,17.0,True
120896927,3.0,True
408618999,18.0,True
307958020,14.0,True
8967242,22.0,True
27491137,16.0,True
293954617,14.0,True
349488688,25.0,True
366989877,13.0,True
39699648,21.0,True
232540264,14.0,True
37749396,3.0,True
9989136,20.0,True
88992642,26.0,True
83092282,8.0,True
298663873,14.0,True
306263608,17.0,True
350618622,12.0,True
101011575,8.0,True
404518509,3.0,True
151759246,54.0,True
368435330,22.0,True
440887364,11.0,True
260647166,10.0,True
437856897,43.0,True
286712787,45.0,True
335630746,10.0,True
198356533,14.0,True
203377303,37.0,True
449197831,32.0,True
360630575,38.0,True
239332587,41.0,True
29191624,21.0,True
413248763,8.0,True
147277741,,False
425997655,1.0,True
460984940,10.0,True
383390264,12.0,True
7422496,5.0,True
33692729,6.0,True
391903064,12.0,True
287080092,15.0,True
364186197,16.0,True
14336130,20.0,True
106402532,9.0,True
98796344,4.0,True
4646810,4.0,True
287256467,25.0,True
149845414,8.0,True
445805961,19.0,True
65612701,,False
142276270,14.0,True
29781292,12.0,True
357501308,24.0,True
142387023,21.0,True
119292328,6.0,True
393818343,55.0,True
317597583,17.0,True
121490076,28.0,True
417931607,14.0,True
139702105,5.0,True
120826158,14.0,True
48018596,15.0,True
142937186,31.0,True
229455001,14.0,True
317060587,1.0,True
204650483,63.0,True
154872375,14.0,True
395171208,56.0,True
180695581,22.0,True
63898957,3.0,True
130924120,10.0,True
179034327,4.0,True
158025009,16.0,True
300038935,12.0,True
71431780,20.0,True
183985250,2.0,True
116483514,16.0,True
150030205,12.0,True
97568467,33.0,True
237222864,14.0,True
71582156,20.0,True
380887434,42.0,True
266980320,1.0,True
172518755,44.0,True
350348197,72.0,True
166527623,11.0,True
466376085,,False
192415680,18.0,True
267263253,1.0,True
429304876,9.0,True
234994474,1.0,True
212253390,27.0,True
34077285,33.0,True
26547036,14.0,True
404505029,23.0,True
94986319,5.0,True
280206394,9.0,True
207468071,23.0,True
194736418,18.0,True
224225541,2.0,True
85293053,21.0,True
77253676,4.0,True
102840239,36.0,True
62483237,1.0,True
260708537,12.0,True
123846039,33.0,True
339672028,6.0,True
192790476,5.0,True
134200185,6.0,True
307210830,12.0,True
281575427,1.0,True
164767175,3.0,True
73228647,10.0,True
441739020,15.0,True
299799658,1.0,True
147660886,36.0,True
262530407,2.0,True
258804746,31.0,True
268334473,19.0,True
85242435,20.0,True
377064495,8.0,True
178819686,10.0,True
428679607,19.0,True
27064468,45.0,True
288631580,14.0,True
8260536,48.0,True
376353509,52.0,True
42883782,14.0,True
159781361,23.0,True
174328045,84.0,True
407126408,12.0,True
287156968,12.0,True
172900988,44.0,True
50618703,6.0,True
281408474,87.0,True
382626661,12.0,True
150098860,12.0,True
286916251,15.0,True
306996324,10.0,True
232568235,23.0,True
219344917,4.0,True
142381532,14.0,True
40292751,74.0,True
44792534,31.0,True
139270665,47.0,True
392476080,52.0,True
58542531,19.0,True
