TIC_ID,sector,available,cadence,author
307210830,12,True,120.0,SPOC
281575427,1,True,120.0,SPOC
164767175,3,True,120.0,SPOC
73228647,10,True,120.0,SPOC
441739020,15,True,120.0,SPOC
299799658,1,True,120.0,SPOC
147660886,36,True,120.0,SPOC
262530407,2,True,120.0,SPOC
258804746,31,True,120.0,SPOC
268334473,19,True,120.0,SPOC
85242435,20,True,120.0,SPOC
377064495,8,True,120.0,SPOC
178819686,10,True,120.0,SPOC
428679607,19,True,120.0,SPOC
27064468,45,True,120.0,SPOC
288631580,14,True,120.0,SPOC
8260536,48,True,120.0,SPOC
376353509,52,True,120.0,SPOC
42883782,14,True,120.0,SPOC
159781361,23,True,120.0,SPOC
174328045,84,True,120.0,SPOC
407126408,12,True,120.0,SPOC
287156968,12,True,120.0,SPOC
172900988,44,True,120.0,SPOC
50618703,6,True,120.0,SPOC
281408474,87,True,120.0,SPOC
382626661,12,True,120.0,SPOC
150098860,12,True,120.0,SPOC
286916251,15,True,120.0,SPOC
306996324,10,True,120.0,SPOC
232568235,23,True,120.0,SPOC
219344917,4,True,120.0,SPOC
142381532,14,True,120.0,SPOC
40292751,74,True,120.0,SPOC
44792534,31,True,120.0,SPOC
139270665,47,True,120.0,SPOC
392476080,52,True,120.0,SPOC
58542531,19,True,120.0,SPOC
274945059,24,True,120.0,SPOC
465088681,12,True,120.0,SPOC
259070502,7,True,120.0,SPOC
338104678,12,True,120.0,SPOC
346783960,18,True,120.0,SPOC
270526513,14,True,120.0,SPOC
242991317,5,True,120.0,SPOC
165991532,14,True,120.0,SPOC
39074957,21,True,120.0,SPOC
407594410,14,True,120.0,SPOC
286031430,19,True,120.0,SPOC
299096773,5,True,120.0,SPOC
320855910,10,True,120.0,SPOC
73884611,14,True,120.0,SPOC
71847068,18,True,120.0,SPOC
199661915,15,True,120.0,SPOC
25858367,13,True,120.0,SPOC
358232450,2,True,120.0,SPOC
141332108,4,True,120.0,SPOC
102643159,12,True,120.0,SPOC
1102093577,23,True,120.0,SPOC
279509403,18,True,120.0,SPOC
265435357,13,True,120.0,SPOC
283819432,16,True,120.0,SPOC
182776916,8,True,120.0,SPOC
254003502,13,True,120.0,SPOC
285339013,18,True,120.0,SPOC
303843296,13,True,120.0,SPOC
339568213,12,True,120.0,SPOC
160268882,14,True,120.0,SPOC
338465029,11,True,120.0,SPOC
400445441,9,True,120.0,SPOC
264540478,6,True,120.0,SPOC
357040925,12,True,120.0,SPOC
427394772,6,True,120.0,SPOC
299135660,3,True,120.0,SPOC
427312571,17,True,120.0,SPOC
93911780,8,True,120.0,SPOC
91246422,13,True,120.0,SPOC
87260967,13,True,120.0,SPOC
26533207,18,True,120.0,SPOC
294261093,10,True,120.0,SPOC
65628544,17,True,120.0,SPOC
