TIC_ID,sector,available
377064495,8.0,True
387342052,71.0,True
86396382,20.0,True
164458714,14.0,True
436575927,43.0,True
35857242,4.0,True
327369524,57.0,True
425997655,1.0,True
29191624,21.0,True
206284139,42.0,True
100389539,87.0,True
399860444,26.0,True
52640302,6.0,True
78055054,5.0,True
19028197,44.0,True
27848472,26.0,True
56658270,43.0,True
229742722,14.0,True
219041246,16.0,True
169226822,9.0,True
260708537,12.0,True
258514800,15.0,True
198153540,16.0,True
407126408,12.0,True
102068384,92.0,True
296739893,8.0,True
165987272,23.0,True
9348006,21.0,True
192790476,5.0,True
361343239,63.0,True
201175570,68.0,True
261136679,12.0,True
120960812,14.0,True
441765914,14.0,True
389352124,27.0,True
349576261,27.0,True
104866616,80.0,True
198588220,24.0,True
129979528,18.0,True
401125028,62.0,True
293457754,42.0,True
147977348,33.0,True
308172249,26.0,True
306362738,6.0,True
166836920,3.0,True
286923464,15.0,True
220029715,11.0,True
219852882,14.0,True
16288184,12.0,True
425561347,27.0,True
397362481,63.0,True
26017005,42.0,True
90850770,27.0,True
219015370,40.0,True
139285832,28.0,True
243921117,54.0,True
153078576,30.0,True
388804061,45.0,True
281459670,1.0,True
270604417,34.0,True
75650448,,False
236445129,15.0,True
272213425,37.0,True
447061717,9.0,True
142276270,14.0,True
51637609,83.0,True
207077681,28.0,True
54002556,30.0,True
287256467,25.0,True
66561343,33.0,True
142532090,87.0,True
158241252,26.0,True
409794137,34.0,True
147797743,47.0,True
70899085,5.0,True
436478932,56.0,True
126606859,41.0,True
374180079,35.0,True
268644785,7.0,True
8599009,80.0,True
178162579,87.0,True
39414571,87.0,True
203189770,41.0,True
138294130,24.0,True
9989136,20.0,True
104024556,10.0,True
327952677,29.0,True
467179528,14.0,True
157236902,26.0,True
158561566,14.0,True
151724385,54.0,True
8767448,21.0,True
377873569,41.0,True
356867115,14.0,True
83181153,43.0,True
48506505,40.0,True
464646604,27.0,True
352682207,52.0,True
243014114,42.0,True
50618703,6.0,True
390651552,23.0,True
138644215,40.0,True
19342878,61.0,True
98796344,4.0,True
288735205,14.0,True
300038935,12.0,True
384984325,18.0,True
224225541,2.0,True
164767175,3.0,True
55315929,45.0,True
35516889,9.0,True
279947414,52.0,True
71431780,20.0,True
343019899,56.0,True
401604346,27.0,True
353475866,19.0,True
2621212,91.0,True
287145649,63.0,True
136916387,12.0,True
423275733,8.0,True
273690178,14.0,True
352011875,14.0,True
48448369,40.0,True
6892385,44.0,True
261867566,12.0,True
460205581,10.0,True
123309556,40.0,True
237222864,14.0,True
134200185,6.0,True
39903405,24.0,True
100566492,27.0,True
166833457,4.0,True
269333648,61.0,True
366568760,7.0,True
159742538,25.0,True
26547036,14.0,True
467331291,52.0,True
211438925,2.0,True
452866790,7.0,True
169461816,14.0,True
137151335,14.0,True
49735922,42.0,True
37770169,6.0,True
350153977,12.0,True
166184428,38.0,True
364395234,9.0,True
176899385,57.0,True
320411045,87.0,True
161032923,13.0,True
445859771,15.0,True
25155310,12.0,True
119584412,22.0,True
51234631,20.0,True
371188886,36.0,True
193641523,12.0,True
87216634,81.0,True
118327550,2.0,True
363548415,45.0,True
183985250,2.0,True
439456714,3.0,True
270380593,4.0,True
179317684,12.0,True
207468071,23.0,True
168281028,62.0,True
413376180,10.0,True
173103335,45.0,True
459837008,19.0,True
394722182,66.0,True
153951307,14.0,True
151483286,61.0,True
273231214,14.0,True
219854519,40.0,True
262746281,35.0,True
27916356,41.0,True
183537452,2.0,True
100990000,3.0,True
159418353,14.0,True
417931300,14.0,True
333736132,36.0,True
261135533,16.0,True
84339983,43.0,True
443556801,,False
268301217,34.0,True
176314383,98.0,True
346338552,56.0,True
121731834,14.0,True
325670253,80.0,True
100100827,2.0,True
376524552,22.0,True
50171060,91.0,True
14770122,44.0,True
98545929,33.0,True
91051152,56.0,True
258796169,17.0,True
610976842,42.0,True
154293917,,False
292152376,58.0,True
235683377,14.0,True
446549906,67.0,True
389900760,18.0,True
47384844,9.0,True
259863352,1.0,True
343648136,39.0,True
237184773,40.0,True
13499636,15.0,True
43064903,15.0,True
153949511,14.0,True
233059608,14.0,True
176957796,12.0,True
276360911,76.0,True
298073824,14.0,True
356158613,14.0,True
224600500,14.0,True
377191482,16.0,True
459978312,14.0,True
198457103,14.0,True
219751469,21.0,True
16920150,17.0,True
367607434,16.0,True
440100539,17.0,True
165551882,14.0,True
129991079,58.0,True
229951289,14.0,True
198384408,14.0,True
459903429,40.0,True
310981412,14.0,True
233684293,14.0,True
237108272,14.0,True
341815767,14.0,True
321068176,30.0,True
684936227,12.0,True
41173048,27.0,True
326453034,2.0,True
100504381,67.0,True
376168473,67.0,True
367855829,14.0,True
259962054,1.0,True
441798995,14.0,True
198211976,14.0,True
159244568,19.0,True
362220495,14.0,True
160074939,2.0,True
49687222,2.0,True
394029948,14.0,True
149539158,1.0,True
75656058,40.0,True
76197937,40.0,True
87597187,59.0,True
416539317,47.0,True
8677530,48.0,True
233831759,55.0,True
452972453,,False
390048041,52.0,True
10974783,52.0,True
72668830,3.0,True
376981340,42.0,True
251086776,4.0,True
459952217,5.0,True
143022742,4.0,True
229976631,40.0,True
103604037,40.0,True
55748194,48.0,True
68035558,50.0,True
2016376984,57.0,True
270435047,57.0,True
20303110,50.0,True
19451711,7.0,True
93125144,6.0,True
365690646,6.0,True
161477033,4.0,True
141985686,79.0,True
259099556,14.0,True
344926234,8.0,True
286132427,8.0,True
78154865,8.0,True
262457587,,False
402740809,83.0,True
96097215,8.0,True
144138509,9.0,True
277099925,12.0,True
320417762,7.0,True
458589703,7.0,True
219401954,3.0,True
150247134,4.0,True
245947683,43.0,True
125405602,11.0,True
381976956,12.0,True
200807066,3.0,True
219380235,30.0,True
102283403,33.0,True
58474992,43.0,True
337129672,42.0,True
261258875,28.0,True
91869778,71.0,True
325172035,37.0,True
82707763,37.0,True
330332501,55.0,True
369861731,94.0,True
158555987,14.0,True
75427473,71.0,True
407146538,65.0,True
371579161,,False
341544930,41.0,True
29959761,,False
425721385,27.0,True
364408162,75.0,True
313891529,29.0,True
1400212743,40.0,True
150271680,12.0,True
189013222,32.0,True
449050248,32.0,True
33878688,12.0,True
358186451,55.0,True
329145325,,False
294173437,75.0,True
420803693,52.0,True
141631253,61.0,True
124702477,,False
373729723,,False
81212286,20.0,True
5109298,33.0,True
339591840,53.0,True
144043410,34.0,True
21755546,40.0,True
131419878,7.0,True
278968371,54.0,True
376740324,90.0,True
82010657,,False
385105624,,False
145027461,34.0,True
169904935,34.0,True
446616059,81.0,True
289316336,53.0,True
191373021,,False
120602501,16.0,True
180987952,35.0,True
82302240,61.0,True
423903685,82.0,True
371210825,44.0,True
434718964,57.0,True
249812036,56.0,True
166184426,11.0,True
219467837,60.0,True
36574157,,False
354285962,77.0,True
841226527,40.0,True
161450762,55.0,True
253030300,60.0,True
283702603,,False
122485078,73.0,True
75208638,62.0,True
376838000,,False
408203470,14.0,True
146434840,,False
354600221,,False
425220920,,False
450327768,48.0,True
71854745,,False
256886630,15.0,True
377144784,57.0,True
115564354,59.0,True
31268146,12.0,True
73244652,60.0,True
239638934,83.0,True
96291218,43.0,True
188593930,29.0,True
387079085,38.0,True
98494121,,False
269892793,18.0,True
7624182,4.0,True
179033846,,False
328750515,56.0,True
140830390,12.0,True
5024743,,False
386435344,8.0,True
167009792,12.0,True
439610306,36.0,True
256414077,,False
458876004,85.0,True
65347776,3.0,True
48178229,,False
194179013,91.0,True
15565627,,False
382474101,2.0,True
341729521,34.0,True
312899686,75.0,True
348054109,26.0,True
314724818,38.0,True
42015200,29.0,True
127793615,38.0,True
405862830,,False
136848581,55.0,True
